#,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
385,"THB 1,226.37 - THB 1,229.56",6,"1,227.10",1.07,6,"1,227.10",177.59,100.00%
386,"THB 1,229.56 - THB 1,232.76",7,"1,231.18",0.78,7,"1,231.18",111.36,100.00%
387,"THB 1,232.76 - THB 1,235.95",7,"1,234.33",0.54,7,"1,234.33",76.79,100.00%
388,"THB 1,235.95 - THB 1,239.14",7,"1,237.06",0.45,7,"1,237.06",63.87,100.00%
389,"THB 1,239.14 - THB 1,242.34",8,"1,240.72",0.66,8,"1,240.72",81.95,100.00%
390,"THB 1,242.34 - THB 1,245.53",9,"1,244.07",1.05,9,"1,244.07",116.28,100.00%
391,"THB 1,245.53 - THB 1,248.73",5,"1,246.13",0.32,5,"1,246.13",63.87,100.00%
392,"THB 1,248.73 - THB 1,251.92",4,"1,249.91",0.35,4,"1,249.91",86.6,100.00%
393,"THB 1,251.92 - THB 1,255.11",6,"1,253.57",0.38,6,"1,253.57",63.87,100.00%
394,"THB 1,255.11 - THB 1,258.31",5,"1,257.00",0.32,5,"1,257.00",63.87,100.00%
395,"THB 1,258.31 - THB 1,261.50",4,"1,258.84",0.26,4,"1,258.84",63.87,100.00%
396,"THB 1,261.50 - THB 1,264.69",9,"1,263.15",0.51,9,"1,263.15",56.78,100.00%
397,"THB 1,264.69 - THB 1,267.89",10,"1,266.79",1,10,"1,266.79",100.43,100.00%
398,"THB 1,267.89 - THB 1,271.08",7,"1,269.18",1.1,7,"1,269.18",157.61,100.00%
399,"THB 1,271.08 - THB 1,274.27",3,"1,272.45",0.75,3,"1,272.45",249.28,100.00%
400,"THB 1,274.27 - THB 1,277.47",4,"1,275.69",0.57,4,"1,275.69",143.63,100.00%
401,"THB 1,277.47 - THB 1,280.66",2,"1,277.48",1.09,2,"1,277.48",542.92,100.00%
402,"THB 1,280.66 - THB 1,283.86",3,"1,282.06",0.51,3,"1,282.06",171.27,100.00%
403,"THB 1,283.86 - THB 1,287.05",2,"1,284.21",0.13,2,"1,284.21",63.87,100.00%
404,"THB 1,287.05 - THB 1,290.24",3,"1,288.98",0.21,3,"1,288.98",71.11,100.00%
405,"THB 1,290.24 - THB 1,293.44",5,"1,292.43",0.29,5,"1,292.43",57.08,100.00%
