Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
"THB 1,114.49 - THB 1,117.68",7.00,1117.08,1.33,7.00,1117.08,189.87,1.00
"THB 1,117.68 - THB 1,120.86",11.00,1122.04,2.15,10.00,1122.46,214.72,0.91
"THB 1,120.86 - THB 1,124.05",4.00,1122.98,1.08,4.00,1122.98,268.82,1.00
"THB 1,124.05 - THB 1,127.23",5.00,1127.32,0.49,4.00,1127.40,122.61,0.80
"THB 1,127.23 - THB 1,130.41",9.00,1131.01,2.14,9.00,1131.01,237.39,1.00
"THB 1,130.41 - THB 1,133.60",7.00,1133.45,1.11,7.00,1133.45,158.63,1.00
"THB 1,133.60 - THB 1,136.78",10.00,1136.51,1.60,10.00,1136.51,160.28,1.00
"THB 1,136.78 - THB 1,139.97",8.00,1138.89,1.01,8.00,1138.89,126.25,1.00
"THB 1,139.97 - THB 1,143.15",4.00,1143.46,1.15,4.00,1143.46,287.64,1.00
"THB 1,143.15 - THB 1,146.34",12.00,1145.19,1.65,11.00,1145.31,149.74,0.92
"THB 1,146.34 - THB 1,149.52",10.00,1150.37,1.19,8.00,1149.75,149.06,0.80
"THB 1,149.52 - THB 1,152.70",6.00,1154.19,0.85,5.00,1153.93,169.98,0.83
"THB 1,152.70 - THB 1,155.89",9.00,1156.41,1.37,9.00,1156.41,151.85,1.00
"THB 1,155.89 - THB 1,159.07",6.00,1160.06,0.25,4.00,1158.81,63.73,0.67
"THB 1,159.07 - THB 1,162.26",9.00,1162.36,1.15,9.00,1162.36,127.98,1.00
"THB 1,162.26 - THB 1,165.44",7.00,1165.23,1.29,7.00,1165.23,184.92,1.00
"THB 1,165.44 - THB 1,168.63",8.00,1167.59,1.11,8.00,1167.59,138.54,1.00
"THB 1,168.63 - THB 1,171.81",10.00,1172.63,1.42,10.00,1172.63,141.78,1.00
"THB 1,171.81 - THB 1,174.99",4.00,1175.52,1.62,4.00,1175.52,405.07,1.00
"THB 1,174.99 - THB 1,178.18",11.00,1177.39,2.75,11.00,1177.39,250.03,1.00
